time,x,y,yaw,curvature,speed,steer
1206.518,0.015038307334868104,-0.0005465026423156962,0.0011731442605752648,0.02093918338455716,0.12477464178772867,-0.08366505980839328
1206.528,0.01505302027482544,-0.0005469731658241084,0.0011739724376479829,0.02093918338455716,0.23707181939668448,-0.08366604926676083
1206.538,0.015178826359635635,-0.0005456267081433745,0.0011940104406168428,0.02093918338455716,0.3381392792447447,-0.0836949761523747
1206.548,0.01541420589761639,-0.0005396835431916362,0.0011879653842569071,0.02093918338455716,0.4290999931079989,-0.08368856098961944
1206.558,0.015761179942691276,-0.0005515831638221857,0.0011922869428374467,0.02093918338455716,0.5109646355849277,-0.08368997617587362
1206.568,0.016225515382834163,-0.0005458266296878148,0.0012074287458588902,0.02093918338455716,0.5846428138141636,-0.08371347731738085
1206.578,0.01680236851455072,-0.0005498040095395763,0.0012147342840456135,0.02093918338455716,0.6509531742204759,-0.08372205829256085
1206.588,0.01749418055628864,-0.0005454224151118938,0.0012252226496044405,0.02093918338455716,0.7106324985861571,-0.0837383077952483
1206.598,0.0183035998362454,-0.0005472983068257863,0.0012166527198127204,0.02093918338455716,0.7643438905152701,-0.08372504309561289
1206.608,0.019220310078399493,-0.0005485978044736311,0.0011994459670146014,0.02093918338455716,0.8126841432514718,-0.0836996986093872
1206.618,0.020260433150757547,-0.0005478894715793254,0.0012061663630047088,0.02093918338455716,0.8561903707140532,-0.08370902596059938
1206.628,0.021403419072531564,-0.0005464607602171868,0.0011957116885264558,0.02093918338455716,0.8953459754303766,-0.08369421771300484
1206.638,0.02266939321278731,-0.0005463514234550955,0.0012007549687218845,0.02093918338455716,0.9305860196750677,-0.08370082917197032
1206.648,0.024041253111363924,-0.0005407339539489993,0.0011945234380030365,0.02093918338455716,0.9623020594952897,-0.08369352065485318
1206.658,0.025538744991312427,-0.0005404552681628252,0.0011968997609656587,0.02093918338455716,0.9908464953334895,-0.08369630780035194
1206.668,0.027136609095031298,-0.0005306076465434503,0.0011850064383008027,0.02093918338455716,1.016536487587869,-0.08368251032748253
1206.678,0.02884880927313931,-0.000522909870704865,0.0011732422350526819,0.02093918338455716,1.0396574806168108,-0.08366803396677651
1206.688,0.030663584605482484,-0.0005354270258716407,0.001163765226414434,0.02093918338455716,1.0604663743428584,-0.08364900785893276
1206.698,0.03259750275644523,-0.0005461776050626772,0.0011540041929760999,0.02093918338455716,1.0791943786963012,-0.08363021829673124
1206.708,0.034644523999714974,-0.0005387384262914495,0.0011458857472445444,0.02093918338455716,1.0960495826143997,-0.08362069312510163
1206.718,0.03679415066553499,-0.0005349254850812518,0.0011161404152961,0.02093918338455716,1.1112192661406883,-0.0835791997607674
1206.728,0.03906908505968162,-0.0005372299823043519,0.0010832758243629567,0.02093918338455716,1.1248719813143482,-0.0835309534744305
1206.738,0.041461391398383216,-0.0005401923684237775,0.0010635810382515186,0.02093918338455716,1.137159424970642,-0.0835010417985022
1206.748,0.043955885988875815,-0.0005457859221860383,0.0010468760439336455,0.02093918338455716,1.1482181242613065,-0.0834743303691528
1206.758,0.046564184161714685,-0.0005529153425067782,0.0010373915511641394,0.02093918338455716,1.1581709536229046,-0.08345718763748695
1206.768,0.04929057899165172,-0.0005633000178779949,0.0010119082085306656,0.02093918338455716,1.167128500048343,-0.08341624886557839
1206.778,0.05211756501304846,-0.0005727245808494817,0.0009823145373004782,0.02093918338455716,1.1751902918312374,-0.08336991246643267
1206.788,0.05505935080077945,-0.0005828970680227362,0.0009655230131295706,0.02093918338455716,1.1824459044358424,-0.08334130300639586
1206.798,0.058098262646926566,-0.0005763077097551026,0.0009372241631323722,0.02093918338455716,1.1889759557799868,-0.08330296801125212
1206.808,0.061255859224748195,-0.0005891969862713811,0.0009237913153233564,0.02093918338455716,1.1948530019897168,-0.08327804161690902
1206.818,0.06451951061564004,-0.0006047698942584217,0.0008845961424207621,0.02093918338455716,1.2001423435784737,-0.08321596900752351
1206.828,0.06790228634840452,-0.0006177235776038798,0.0008802577802303055,0.02093918338455716,1.204902751008355,-0.08320377575197258
1206.838,0.07138674505718522,-0.0006313473656988713,0.0008292302593682473,0.02093918338455716,1.2091871176952482,-0.0831259791740472
1206.848,0.07497933243944127,-0.0006473448837155017,0.0007784903399646148,0.02093918338455716,1.2130430477134522,-0.08304777785679102
1206.858,0.07868167698494409,-0.0006650546072920056,0.0007153297305403253,0.02093918338455716,1.2165133847298357,-0.08295168539525577
1206.868,0.08250711212959247,-0.000678207920202913,0.0006735443888609365,0.02093918338455716,1.2196366880445808,-0.08288730478345677
1206.878,0.08643656333437849,-0.0006935722176171177,0.0006328880676414608,0.02093918338455716,1.2224476610278514,-0.08282374635374906
1206.888,0.0904724484609553,-0.0007209933539676411,0.0005721406459336029,0.02093918338455716,1.224977536712795,-0.0827276976153062
1206.898,0.09461147837616965,-0.0007392445459101662,0.0005218093292931348,0.02093918338455716,1.2272544248292443,-0.08264981524689868
1206.908,0.09886641515763082,-0.0007617082306955493,0.0004682611523831166,0.02093918338455716,1.2293036241340485,-0.0825659885026956
1206.918,0.10322307087319245,-0.0007781069172648661,0.0004002046249139232,0.02093918338455716,1.2311479035083723,-0.08246452497545884
1206.928,0.10769256209845489,-0.0007950033969798725,0.0003507574573017785,0.02093918338455716,1.2328077549452638,-0.0823888612860963
1206.938,0.11226548492595147,-0.0008158267353813941,0.0003040567514383527,0.02093918338455716,1.234301621238466,-0.08231564810364672
1206.948,0.11694807306263999,-0.0008444563427116143,0.00023480509790243544,0.02093918338455716,1.2356461009023483,-0.08220843477361456
